,price_tnd,Area,room,bathroom,state,latt,long,distance_to_capital,garage,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
179,1220000.0,630.0,6.0,4.0,1.0,36.8482637,10.1410889,6.40986136903085,1,0,0,0,0,0,0,0,1,1
180,580000.0,630.0,8.0,3.0,2.0,36.0683,9.97244,84.0946305610268,1,0,1,1,0,0,0,1,1,0
181,1400000.0,600.0,8.0,4.0,1.0,36.77855,10.05538,14.3537727228831,1,0,0,0,0,0,0,0,0,0
182,850000.0,600.0,4.0,2.0,2.0,36.78913,10.89554,79.4203286483924,1,0,1,0,1,0,0,1,0,1
183,800000.0,600.0,8.0,2.0,1.0,36.883333,10.25,11.3450822580238,1,0,0,0,0,0,0,0,1,0
184,660000.0,600.0,4.0,4.0,1.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,1,1,1
185,2320000.0,550.0,5.0,5.0,2.0,33.812286276669,10.9869650542156,339.306502968495,1,0,1,0,1,0,1,1,1,1
186,1300000.0,550.0,4.0,2.0,2.0,36.40108,10.61457,65.4597220191691,1,0,1,0,1,0,0,0,1,1
187,1500000.0,540.0,8.0,4.0,1.0,36.81881,10.16596,2.19113226059161,0,0,0,0,0,0,0,0,0,0
188,900000.0,530.0,8.0,5.0,1.0,36.6938694,10.2622167,15.2468224381805,1,0,0,0,0,0,0,0,0,0
189,670000.0,504.0,4.0,4.0,1.0,33.759722,11.01251,345.586422511665,1,0,1,0,1,0,1,1,1,1
190,850000.0,500.0,7.0,3.0,1.0,36.876389,10.325278,17.7221901283016,0,0,0,0,0,0,0,0,0,0
191,840000.0,500.0,8.0,3.0,2.0,36.613659,8.7231929,163.529980871123,1,0,0,0,0,0,0,0,1,0
192,1080000.0,498.0,5.0,3.0,1.0,36.845235,10.164723,4.6317218774898,1,0,0,0,0,0,0,0,1,1
193,1440000.0,454.0,7.0,4.0,1.0,35.7599477658289,10.5953646785889,123.368063189228,1,0,0,0,0,0,0,1,1,1
194,950000.0,451.0,8.0,8.0,1.0,35.83238,10.5545,114.336295272165,1,0,0,0,0,0,0,1,1,1
195,550000.0,446.0,4.0,2.0,1.0,36.8764423632757,10.3170464992518,16.9037901305011,1,0,0,0,0,0,0,1,1,1
196,850000.0,438.0,8.0,4.0,1.0,36.83017,10.13736,5.54992694975533,1,0,0,0,0,0,0,1,1,1
199,1000000.0,400.0,7.0,3.0,1.0,35.87,10.57,111.167790931873,1,1,1,0,0,0,0,1,1,1
200,660000.0,400.0,4.0,4.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,1,1,0,0,1,0,0
201,620000.0,400.0,8.0,2.0,1.0,36.83017,10.13736,5.54992694975533,1,1,0,0,0,0,0,1,0,0
202,850000.0,380.0,4.0,4.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,1,0,0,0,0,0
203,650000.0,380.0,4.0,4.0,2.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,0,1,0
204,930000.0,375.0,8.0,5.0,2.0,36.8941992,10.2762232,14.249053168265,0,0,0,0,0,0,0,1,0,0
205,900000.0,375.0,6.0,2.0,1.0,36.6938694,10.2622167,15.2468224381805,1,0,0,0,0,0,0,1,0,0
206,1350000.0,360.0,5.0,9.0,1.0,36.876389,10.325278,17.7221901283016,1,0,0,0,1,0,0,1,1,1
207,650000.0,360.0,6.0,3.0,1.0,36.81881,10.16596,2.19113226059161,0,0,0,0,0,0,0,0,0,0
208,850000.0,350.0,6.0,4.0,1.0,36.876389,10.325278,17.7221901283016,0,0,0,0,0,0,0,0,0,0
209,850000.0,320.0,4.0,5.0,2.0,36.45056,10.73505,72.8250683705131,0,0,0,1,0,0,0,1,0,1
210,720000.0,320.0,5.0,3.0,1.0,36.45056,10.73505,72.8250683705131,1,0,0,0,0,0,0,1,1,1
212,1300000.0,318.0,8.0,6.0,0.0,36.8194363,10.1705906,1.86442879473874,1,0,0,0,0,0,0,1,1,1
214,450000.0,300.0,7.0,4.0,2.0,36.4093729599124,10.5848518183532,62.435627162284,0,0,0,0,0,0,0,1,1,1
216,300000.0,295.0,6.0,4.0,2.0,36.30084,10.45554,63.1549741044483,1,0,1,1,0,0,0,1,0,1
217,520000.0,281.0,6.0,4.0,2.0,36.8493,11.0918,101.328751226941,1,0,0,0,0,0,0,0,0,0
218,1250000.0,270.0,8.0,2.0,2.0,36.876389,10.325278,17.7221901283016,1,0,0,1,1,0,1,1,1,0
220,629000.0,260.0,3.0,2.0,2.0,36.40108,10.61457,65.4597220191691,1,0,0,0,0,0,0,0,0,0
221,590000.0,240.0,7.0,3.0,1.0,36.81881,10.16596,2.19113226059161,1,0,0,0,0,0,0,0,1,1
222,330000.0,206.0,5.0,3.0,2.0,36.876389,10.325278,17.7221901283016,0,0,0,0,0,0,0,1,0,1
223,710000.0,200.0,8.0,4.0,0.0,36.833333,10.316667,15.3139811663917,1,0,0,0,0,0,0,0,0,0
224,400000.0,200.0,6.0,3.0,1.0,36.952,8.7581,159.077297803572,0,0,0,1,0,0,0,0,0,0
226,250000.0,180.0,8.0,5.0,1.0,36.40108,10.61457,65.4597220191691,1,0,0,0,0,0,0,0,0,0
227,220000.0,178.0,3.0,2.0,1.0,33.7827027917063,11.026704978943,343.587719897206,1,0,0,0,1,0,0,1,0,1
229,370000.0,150.0,7.0,2.0,1.0,36.883333,10.25,11.3450822580238,0,0,0,0,0,0,0,0,0,0
230,250000.0,124.0,5.0,2.0,1.0,33.8869,9.5375,327.765254316544,0,0,0,0,0,0,0,0,0,0
231,210000.0,119.0,4.0,2.0,1.0,36.8493,11.0918,101.328751226941,1,0,0,0,0,0,0,0,0,0
232,380000.0,115.0,6.0,4.0,1.0,36.88833,10.27417,13.6515294537323,0,0,0,0,0,0,0,0,0,0
240,550000.0,12000.0,3.0,2.0,2.0,36.40108,10.61457,65.4597220191691,1,0,0,1,0,0,0,1,0,0
241,1000000.0,2800.0,6.0,6.0,1.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,1,1,1,1
242,1100000.0,2000.0,7.0,7.0,2.0,36.91237,11.10203,103.010049043163,1,1,1,1,1,0,0,1,0,1
243,2250000.0,1900.0,8.0,4.0,1.0,36.8941992,10.2762232,14.249053168265,1,1,0,0,1,0,0,1,1,1
244,5600000.0,1800.0,8.0,6.0,1.0,36.917739,10.288893,17.051905570475,0,0,0,0,1,0,0,1,1,1
245,3800000.0,1620.0,5.0,4.0,1.0,36.883333,10.25,11.3450822580238,1,0,0,0,1,0,0,1,1,1
247,5200000.0,1330.0,4.0,4.0,0.0,36.8694317,10.3164051,16.5057647881764,1,0,1,0,0,0,0,0,0,0
248,800000.0,1300.0,6.0,2.0,2.0,36.952,8.7581,159.077297803572,1,0,1,1,1,0,0,0,1,0
249,3700000.0,1200.0,7.0,7.0,2.0,36.40108,10.61457,65.4597220191691,0,0,0,0,1,1,0,1,1,1
250,900000.0,1200.0,4.0,2.0,2.0,33.8039664,11.0400653,341.757988160383,1,0,0,1,1,0,1,1,1,1
251,1250000.0,1104.0,7.0,4.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,0,0,0,0,1,1
252,1600000.0,1000.0,7.0,4.0,1.0,35.81433,10.63392,119.603210703078,1,0,0,0,0,0,0,1,1,1
253,570000.0,1000.0,6.0,3.0,2.0,33.7368225,10.7591506,341.736880809943,1,0,0,0,0,0,0,0,0,0
256,1600000.0,780.0,9.0,5.0,0.0,36.8625,10.19556,6.32498837542227,1,0,0,0,1,0,0,1,1,0
258,2200000.0,750.0,5.0,5.0,1.0,36.8816944972387,10.3325284483195,18.7007666546864,1,0,0,0,1,0,0,0,1,1
259,780000.0,712.0,5.0,2.0,1.0,36.0683,9.97244,84.0946305610268,1,0,1,1,1,0,0,0,0,0
260,650000.0,670.0,8.0,2.0,1.0,36.774385049578,10.1900135050966,3.63999335953499,1,0,0,1,0,0,0,0,0,0
